Content,Created Date,Source
I'm in America I've been tweeting non-stop since 6am this morning #Savelucifer #pickUpLucifer https://t.co/5atb5bPj3x,2018-05-12 19:04:59,Iphone
@AmazingPhil oof i’m excited for your merch,2018-05-12 19:04:59,Iphone
"This store either so out fast, or they lack stock. Cashier today wasn't very pleasant, can it be the weather? (at… https://t.co/cQyF1xrhM8",2018-05-12 19:04:59,Other
Cookout season is in full effect 🤣,2018-05-12 19:04:59,Iphone
@Cubs Joe Madson doesn’t like cold weather games I think he had enough this season,2018-05-12 19:04:59,Iphone
inside my head I've been at war,2018-05-12 19:04:59,Android
"""two poems"" 
(one forward, one backward. 
one for them, one for you.) https://t.co/MQyNW30ppF",2018-05-12 19:04:59,Iphone
He said I look like a ball...,2018-05-12 19:04:59,Twitter Web Client
"The Russos confirmed that Tom Holland actually did turn to dust on set. They were gonna use CGI but Tom Holland, being t…",2018-05-12 19:04:59,Iphone
"Wow just, wow @JamesShawJr9 lots of work ahead but the young people will win 🧡🧡🧡 #YPWW https://t.co/ir5bLSsyT5",2018-05-12 19:04:59,Other
"'The Time for Single-Payer Is Now': Countering Corporate Lies, Doctors Run Ad Providing the Facts About Medicare fo… https://t.co/G61bzgmWbJ",2018-05-12 19:04:59,Twitter Web Client
"I have Parents who are there for me and support me in everything I do
Two real friends who are always there for me… https://t.co/wG2g0pXuWk",2018-05-12 19:05:00,Iphone
All I ever do is listen to beerbongs &amp; bentleys on repeat😅,2018-05-12 19:05:00,Iphone
"TONIGHT: [SOLD OUT] Night Two: @smoking_popes – Live From the Rock Room Fest with Mr. T Experience, @Kepiland &amp; @telet…",2018-05-12 19:04:59,Other
"Mourinho on Rui Faria: “17 years and the kid is now a man. The intelligent student is now a football expert, ready for a suc…",2018-05-12 19:05:00,Android
I’m done with human beings https://t.co/5B6VYPiy58,2018-05-12 19:04:59,Iphone
HOSEOK GOT PROMOTED TO SUB VOCALIST AND TAEHYUNG TO LEAD DANCER NOW THAT’S WHAT I LOVE TO HEAR,2018-05-12 19:05:00,Iphone
"@handwrittentixs I prbly sound studio right now but, how does that work?",2018-05-12 19:05:00,Iphone
even minhyuks blinking is gay he can't even blink straight,2018-05-12 19:05:00,Iphone
"your bag is in front of you, go get that mf.",2018-05-12 19:05:00,Iphone
"New post: SPIE honors service and career excellence with Senior Member promotions SPIE, the international societ https://t.co/SKAgTuFBml",2018-05-12 19:05:00,Other
"You don't go sliding into girls' dms, sending heart emojis and leave 'em hangin' just like that. Not cool man, not cool.",2018-05-12 19:05:00,Twitter Web Client
@HenryLuckk I can understand you bur some people take it way too serious like if you lose a game they ready to dele… https://t.co/dmIiCkSiAK,2018-05-12 19:04:59,Other
@chelsfan4life @realmadriden @GarethBale11 @RCCelta @HKane He is what?,2018-05-12 19:05:00,Android
“You’re Supposed To Let Us Do What We Want” Apple Tells Athenry (plus one spot-on response) https://t.co/iazZMwnUuE,2018-05-12 19:05:00,Twitter Web Client
“you don’t even know what i been through.”,2018-05-12 19:05:00,Iphone
